======================================================================
  MORFOLOGIA  –  PER DOCUMENTO
======================================================================

Documento                                        TTR  Lemmi uniq   NOUN%   VERB%
NAL_Car_AS1_P99                                0.248         215    21.2     9.4
NAL_DiL_AS1_P105                               0.251         415    18.1    10.5
NAL_DiL_AS1_P106                               0.239         381    16.4     9.5
NAL_DiL_AS1_P107                               0.244         343    16.7    12.5
NAL_DiL_AS1_P108                               0.259         359    17.6    10.6
NAL_DiL_AS1_P109                               0.250         372    17.1    10.1
NAL_DiL_AS1_P166                               0.243         337    17.1    11.7
SCSA_Bon_AS1_P54                               0.271         120    22.8     8.6
SCSA_Bon_AS1_P55                               0.287         221    26.1     8.2
SCSA_Bon_AS1_P56                               0.287         158    27.3     9.3
SCSA_Bon_AS1_P57                               0.229         266    22.8     8.9
SCSA_Bon_AS1_P58                               0.253         278    23.2     8.7
SCSA_Bon_AS1_P59                               0.250         177    25.4     9.2
SCSA_Bon_AS1_P60                               0.214         214    24.2     9.3
SCSA_Bon_AS1_P61                               0.185         352    21.8     8.8
SCSA_Bon_AS1_P62                               0.310         163    31.0     9.1
SCSA_Bon_AS1_P63                               0.263         275    25.3    11.5
SCSA_Bon_AS1_P64                               0.250         193    24.2     7.9
SCSA_Bon_AS1_P65                               0.299         189    24.8     9.8
SCSA_Bon_AS1_P66                               0.258         195    24.3     8.1
SCSA_Bon_AS1_P67                               0.235         139    25.4     8.6
SCSA_Bon_AS1_P68                               0.257         119    29.4    11.0
SCSA_Bon_AS1_P69                               0.264         168    25.8    11.0
SCSA_Bon_AS1_P70                               0.205         195    24.8     8.6
SCSA_Bon_AS1_P71                               0.265         288    24.8     8.9
SCSA_Bon_AS1_P72                               0.286         138    28.4     8.7
SCSA_Bon_AS2_P54                               0.228         174    23.8     8.3
SCSA_Bon_AS2_P56                               0.260         230    26.0     9.4
SCSA_Bon_AS2_P62                               0.260         129    23.4     8.1
SCSA_Bon_AS2_P67                               0.312         220    26.2     8.4
SCSA_Bon_AS2_P68                               0.254         194    25.6     8.1
SCSA_Bon_AS2_P69                               0.249         287    26.7    10.0
SCSA_Bon_AS2_P70                               0.203         180    23.9     7.7
SCSA_Bon_AS2_P72                               0.293         137    27.6     5.8
SCSA_Bon_AS2_P73                               0.222         227    28.6     7.7
SCSA_Bon_AS2_P74                               0.297         254    30.7     8.2
SCSA_Bon_AS2_P75                               0.286         213    26.0     8.2
SCSA_Bon_AS2_P76                               0.266         135    27.6     8.1
SCSA_Bon_AS2_P77                               0.234         322    25.4     8.4
SCSA_Bon_AS2_P78                               0.251         127    22.5     8.5
SCSA_Bon_AS2_P79                               0.262          94    24.0     9.8
SCSA_Bon_AS2_P80                               0.249         255    24.4     9.5
SCSA_Bon_AS2_P81                               0.207         204    22.1     8.7
SCSA_Bon_AS2_P82                               0.242         192    23.0     8.1
SCSA_Bon_AS2_P83                               0.264         139    23.5     9.7
SCSA_Bon_AS2_P84                               0.282          92    23.0     8.0
SCSA_Bon_AS2_P85                               0.243         117    22.9     9.4
SCSA_Bon_AS2_P86                               0.297         202    24.0     9.7
SCSA_Bon_AS2_P87                               0.241         219    25.5     7.7
SCSA_Bon_AS2_P88                               0.228         149    24.5    10.7
SCSA_Bon_AS2_P89                               0.219         178    21.9     7.6
SCSA_Bon_AS2_P90                               0.239         257    21.3     8.4
SCSA_Bon_AS2_P91                               0.202         226    25.5     7.4
SCSA_Bon_AS2_P92                               0.182         278    21.9     8.3
SCSA_Bon_AS2_P93                               0.203         275    25.0     9.4
SCSA_Bon_AS2_P94                               0.254         213    22.7     7.8
SCSA_Bon_AS2_P95                               0.197         205    24.9    10.8
SCSA_Bon_AS2_P96                               0.216         333    25.9     7.3
SCSA_Bon_AS2_P97                               0.255         211    22.5    10.0
