======================================================================
  AGENCY  –  PER DOCUMENTO
======================================================================

Documento                                      Concept%  AuthID%  SrcAttr%  Impers%
GLD_Gog_AS1_P16_P167_P168                          38.9      5.7      17.2      5.7
GLD_Gog_AS1_P26                                    56.1      3.6      10.8      3.6
GLD_Gog_AS1_P31_P32_P33                            54.7      7.5      13.0      6.8
NAL_Car_AS1_P100                                   40.0      0.0      20.0      0.0
NAL_Car_AS1_P101                                   40.0      2.2      20.0      2.2
NAL_Car_AS1_P102                                   52.4      0.0      25.6      4.9
NAL_Car_AS1_P103                                   47.1      0.0      17.6     11.8
NAL_Car_AS1_P104                                   51.2      2.3      20.9      4.7
NAL_Car_AS1_P172                                   54.5      0.0      13.6      0.0
NAL_Car_AS1_P98                                    46.3      0.0      22.4      0.0
NAL_Car_AS1_P99                                    32.1      3.6      17.9      1.8
NAL_DiL_AS1_P105                                   32.7      4.7      12.2      3.7
NAL_DiL_AS1_P106                                   24.8      6.7       6.7     10.5
NAL_DiL_AS1_P107                                   32.7     12.7      10.0      5.5
NAL_DiL_AS1_P108                                   29.0     16.0       5.0     11.0
NAL_DiL_AS1_P109                                   25.0     14.8       9.3      4.6
NAL_DiL_AS1_P166                                   22.2     16.7       9.3      5.6
SCSA_Bon_AS1_P54                                   52.2      4.3       4.3     30.4
SCSA_Bon_AS1_P55                                   58.6     27.6       0.0     10.3
SCSA_Bon_AS1_P56                                   50.0     10.7       3.6     21.4
SCSA_Bon_AS1_P57                                   48.2     17.9       0.0      1.8
SCSA_Bon_AS1_P58                                   57.4      5.9       5.9      7.3
SCSA_Bon_AS1_P59                                   48.6      5.4       0.0     27.0
SCSA_Bon_AS1_P60                                   31.3     31.3       3.0     17.9
SCSA_Bon_AS1_P61                                   66.4      0.0       2.8      8.4
SCSA_Bon_AS1_P62                                   54.5      4.5       0.0     13.6
SCSA_Bon_AS1_P63                                   56.4      0.0       5.1      5.1
SCSA_Bon_AS1_P64                                   35.3     20.6       0.0     20.6
SCSA_Bon_AS1_P65                                   35.7      7.1      10.7      3.6
SCSA_Bon_AS1_P66                                   39.0     31.7       2.4      2.4
SCSA_Bon_AS1_P67                                   73.1      3.9       0.0      0.0
SCSA_Bon_AS1_P68                                   57.7     11.5       0.0      0.0
SCSA_Bon_AS1_P69                                   56.1      9.8       2.4     19.5
SCSA_Bon_AS1_P70                                   51.7     17.2       1.7      3.5
SCSA_Bon_AS1_P71                                   47.2     32.1       0.0      5.7
SCSA_Bon_AS1_P72                                   73.9      8.7       0.0     13.0
SCSA_Bon_AS2_P54                                   61.9      4.8       7.1      9.5
SCSA_Bon_AS2_P56                                   39.7     27.6       1.7     12.1
SCSA_Bon_AS2_P62                                   60.9      4.3       4.3      4.3
SCSA_Bon_AS2_P67                                   71.0      0.0       2.6      0.0
SCSA_Bon_AS2_P68                                   43.2     13.6       4.5      9.1
SCSA_Bon_AS2_P69                                   51.9      5.1       1.3     16.5
SCSA_Bon_AS2_P70                                   40.4     24.6       1.8      3.5
SCSA_Bon_AS2_P72                                   76.2      0.0       0.0      9.5
SCSA_Bon_AS2_P73                                   78.4      0.0       3.9      2.0
SCSA_Bon_AS2_P74                                   62.8     11.6       2.3      0.0
SCSA_Bon_AS2_P75                                   44.2      9.3       7.0      0.0
SCSA_Bon_AS2_P76                                   65.5      0.0       0.0      6.9
SCSA_Bon_AS2_P77                                   56.2      5.5       2.7      8.2
SCSA_Bon_AS2_P78                                   64.3      3.6      10.7      3.6
SCSA_Bon_AS2_P79                                   62.5      0.0       0.0      4.2
SCSA_Bon_AS2_P80                                   54.4      1.5       1.5     10.3
SCSA_Bon_AS2_P81                                   34.3     16.4       0.0     22.4
SCSA_Bon_AS2_P82                                   70.0      0.0       2.0     12.0
SCSA_Bon_AS2_P83                                   32.4      2.9       2.9     26.5
SCSA_Bon_AS2_P84                                   57.9      0.0       0.0      5.3
SCSA_Bon_AS2_P85                                   56.8      8.1       2.7     18.9
